Date,leaf_mar,leaf_apr,leaf_may,mwc30av,mwc60av,Station,Precip(totalmm),Airtemp(meanc),SolarRadiationMJm-2,RelativeHumidity(%),VaporPressureDeficit(Pa)
2000-04-17,1.0,1.0,0.068965517,0.196625,0.22822916666666665,CS01,0.0,16.4,15.64442,73.125,435.5281461538461
2000-04-18,1.0,1.0,0.103448276,0.19264583333333335,0.22433333333333333,CS01,0.0,14.2,20.58036,72.791667,391.52275809281696
2000-04-19,1.0,1.0,0.137931034,0.18641666666666667,0.22097916666666667,CS01,0.0,15.6,26.81303,72.125,431.52304870017326
2000-04-20,1.0,1.0,0.172413793,0.18052083333333335,0.21733333333333332,CS01,0.0,16.7,21.16598,67.125,626.4615921787711
2000-04-21,1.0,1.0,0.206896552,0.18202083333333335,0.21452083333333333,CS01,2.79,12.0,10.20652,71.916667,376.7494639905392
2000-04-22,1.0,1.0,0.24137931,0.17883333333333334,0.2125625,CS01,0.0,10.3,22.71369,70.791667,322.83889375375054
2000-04-23,1.0,1.0,0.275862069,0.17425000000000002,0.21039583333333334,CS01,0.0,10.9,18.15422,68.458333,383.2994089541869
2000-04-24,1.0,1.0,0.310344828,0.20268750000000002,0.2182291666666667,CS01,15.49,11.7,5.68888,92.875,97.49966608344546
2000-04-25,1.0,1.0,0.344827586,0.22625,0.24043750000000003,CS01,2.29,13.1,9.24443,87.291667,192.07477060082817
2000-04-26,1.0,1.0,0.379310345,0.21122916666666666,0.23222916666666668,CS01,0.0,11.7,18.32154,74.583333,309.8703510912269
2000-04-27,1.0,1.0,0.413793103,0.20075,0.22422916666666665,CS01,1.02,10.9,27.48231,62.833333,429.11726763700585
2000-04-28,1.0,1.0,0.448275862,0.2423125,0.2521041666666667,CS01,14.73,12.8,15.01697,84.833333,201.6213215299464
2000-04-29,1.0,1.0,0.482758621,0.22318749999999998,0.24275000000000002,CS01,0.0,10.9,21.04049,76.041667,287.1980551562094
2000-04-30,1.0,1.0,0.517241379,0.20927083333333332,0.232875,CS01,0.0,13.1,29.23917,68.208333,420.22485727823187
2000-05-01,1.0,1.0,0.551724138,0.19874999999999998,0.22575,CS01,0.0,14.5,28.40257,64.916667,545.7957952209885
2000-05-02,1.0,1.0,0.586206897,0.1848125,0.22002083333333333,CS01,0.0,18.9,17.44311,73.75,538.9110050847457
2000-05-03,1.0,1.0,0.620689655,0.17645833333333333,0.21541666666666667,CS01,3.05,17.8,19.61827,85.166667,303.2197350521407
2000-05-04,1.0,1.0,0.655172414,0.224125,0.23550000000000004,CS01,13.97,17.3,8.28234,96.25,71.50324675324669
2000-05-05,1.0,1.0,0.689655172,0.2034166666666667,0.232375,CS01,0.0,17.5,22.12807,85.375,290.25879048316233
2000-05-06,1.0,1.0,0.724137931,0.19133333333333336,0.2238125,CS01,0.0,18.4,23.25748,80.875,394.4420401854714
2000-05-07,1.0,1.0,0.75862069,0.18270833333333333,0.21675,CS01,0.0,19.2,23.75944,79.291667,430.5004510609542
2000-05-08,1.0,1.0,0.793103448,0.1755625,0.21156250000000001,CS01,0.0,19.5,20.12023,82.625,370.66667367624825
2000-05-09,1.0,1.0,0.827586207,0.16925,0.20718750000000002,CS01,0.0,19.5,22.83918,78.75,455.7394269841268
2000-05-10,1.0,1.0,0.862068966,0.16475,0.20329166666666665,CS01,0.0,19.2,23.8431,80.0,393.2708250000001
2000-05-11,1.0,1.0,0.896551724,0.15960416666666666,0.20002083333333331,CS01,0.0,18.1,29.6993,75.041667,482.99431217011613
2000-05-12,1.0,1.0,0.931034483,0.15206250000000002,0.19604166666666664,CS01,0.0,22.8,29.07185,76.958333,583.8137278667265
2000-05-13,1.0,1.0,0.965517241,0.14675,0.19210416666666663,CS01,0.0,22.0,24.13591,73.625,682.9587458404073
2000-05-14,1.0,1.0,1.0,0.14375000000000002,0.1888125,CS01,0.0,18.9,26.81303,58.333333,810.4464396861223
2000-05-15,1.0,1.0,1.0,0.14066666666666666,0.18572916666666667,CS01,0.0,14.2,24.21957,66.333333,494.8915467335422
2000-05-16,1.0,1.0,1.0,0.13679166666666667,0.18306250000000002,CS01,0.0,13.1,27.27316,70.0,447.75000000000006
2000-05-17,1.0,1.0,1.0,0.13310416666666666,0.1801875,CS01,0.0,15.9,10.79214,91.208333,159.2420343491412
2000-05-18,1.0,1.0,1.0,0.1284375,0.1775625,CS01,0.0,20.3,22.1699,78.375,526.5072342902708
2000-05-19,1.0,1.0,1.0,0.12420833333333334,0.17370833333333335,CS01,0.0,22.5,25.89277,75.25,604.3467498338874
2000-05-20,1.0,1.0,1.0,0.12183333333333334,0.17047916666666665,CS01,0.0,22.0,17.27579,90.041667,244.93536400887731
2000-05-21,1.0,1.0,1.0,0.13247916666666668,0.19766666666666666,CS01,23.37,22.3,18.8235,91.666667,190.41665532727308
